titulo,autores,generos,serie,sinopsis,url_libro,categoria_origen,fecha_extraccion,imagen_portada
El molino del Floss,George Eliot,"Clásico, Costumbrista",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-molino-del-floss/,Clásico,2026-09-05 23:54:51,https://assets.lectulandia.co/b/George%20Eliot/El%20molino%20del%20Floss%20(10)/big.jpg
Middlemarch,George Eliot,"Clásico, Costumbrista",N/D,N/D,https://ww3.lectulandia.co/book/middlemarch/,Clásico,2026-09-05 23:54:53,https://assets.lectulandia.co/b/George%20Eliot/Middlemarch%20(2)/big.jpg
"Otelo, el moro de Venecia",William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/otelo-el-moro-de-venecia/,Clásico,2026-09-05 23:54:55,"https://assets.lectulandia.co/b/William%20Shakespeare/Otelo,%20el%20moro%20de%20Venecia%20(7)/big.jpg"
Hamlet,William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/hamlet/,Clásico,2026-09-05 23:54:59,https://assets.lectulandia.co/b/William%20Shakespeare/Hamlet%20(10)/big.jpg
La sombra del ciprés es alargada,Miguel Delibes,"Clásico, Drama",N/D,N/D,https://ww3.lectulandia.co/book/la-sombra-del-cipres-es-alargada/,Clásico,2026-09-05 23:55:03,https://assets.lectulandia.co/b/Miguel%20Delibes/La%20sombra%20del%20cipres%20es%20alargada%20(18)/big.jpg
La respuesta es no,Wilkie Collins,"Clásico, Drama, Intriga",N/D,N/D,https://ww3.lectulandia.co/book/la-respuesta-es-no/,Clásico,2026-09-05 23:55:05,https://assets.lectulandia.co/b/Wilkie%20Collins/La%20respuesta%20es%20no%20(2)/big.jpg
La vida es sueño,Pedro Calderón de la Barca,"Clásico, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/la-vida-es-sueno/,Clásico,2026-09-05 23:55:08,https://assets.lectulandia.co/b/Pedro%20Calderon%20de%20la%20Barca/La%20vida%20es%20sueno%20(12)/big.jpg
El grillo del hogar (Ilustrado),Charles Dickens,"Clásico, Cuentos, Relato",N/D,Debes Iniciar sesión para escribir un comentario.,https://ww3.lectulandia.co/book/el-grillo-del-hogar-ilustrado/,Clásico,2026-09-05 23:55:10,https://assets.lectulandia.co/b/Charles%20Dickens/El%20grillo%20del%20hogar%20(Ilustrado)%20(9)/big.jpg
El jardín de los cerezos,Antón Chéjov,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/el-jardin-de-los-cerezos/,Clásico,2026-09-05 23:55:13,https://assets.lectulandia.co/b/Anton%20Chejov/El%20jardin%20de%20los%20cerezos%20(19)/big.jpg
Macbeth,William Shakespeare,"Clásico, Drama, Teatro",N/D,N/D,https://ww3.lectulandia.co/book/macbeth/,Clásico,2026-09-05 23:55:16,https://assets.lectulandia.co/b/William%20Shakespeare/Macbeth%20(20)/big.jpg
